ticker,history_rows,history_start_date,history_end_date,latest_close,latest_volume,latest_dollar_volume,public_age_years_proxy,all_time_high,all_time_drawdown,return_5d,return_20d,return_60d,avg_volume_20d,avg_volume_60d,relative_volume_20d,relative_volume_60d,dollar_volume_acceleration,volume_to_float,breakout_distance_60d,breakout_proximity_score,compression_5d_range,compression_5d_score,near_52w_low_score,drawdown_60d,explosive_behavior_score,recent_dynamism_score,price_history_status,price_history_source
IPW,260.0,2021-05-10,2026-09-18,1.7000000476837158,1458692.0,2479776.469555855,5.36,17820.0,-0.9999046015685924,-0.38405795160949385,-0.9710293108581703,-0.998750734871631,3031699.0,1029431.7833333333,0.48114671014503746,1.4169875300301185,1.8315053367052294,,-0.9993185826461394,0.1,1.558823401540212,0.0,100.0,-0.9988374636809149,0.0,68.4,ok,yahoo_chart
CTNT,165.0,2023-07-31,2026-09-18,0.04650000110268593,593166689.0,27582251.69257656,3.13,34560.0,-0.9999986545138569,-0.9707547169015602,-0.9840753425042017,-0.9998429054016801,125909309.45,42712177.21666667,4.71106299916253,13.88753108957745,0.9303752011016152,,-0.9998903301860785,0.0,33.13978506597649,0.0,100.0,-0.9998807692279418,30.0,91.7,ok,yahoo_chart
JOB,169.0,1984-12-01,2026-09-18,0.2280000001192093,141408.0,32241.024016857147,41.8,140.3162078857422,-0.9983750986179383,0.20000001568543302,-0.5854545542228319,-0.9626229502157766,31522910.4,30076385.966666665,0.00448588021238039,0.004701628718181798,0.170106808958344,,-0.9878074871220823,1.2,0.48245613748438726,0.0,100.0,-0.9794594601546293,0.0,40.4,ok,yahoo_chart
CDT,235.0,2022-03-28,2026-09-18,0.17090000212192535,15890981.0,2715768.6866194755,4.48,50550000.0,-0.9999999966191889,-0.9402447523110139,-0.9914763087967589,-0.9999525277771883,7179619.05,2406841.6,2.2133459852580897,6.602420782489383,0.2567781132002948,,-0.999955026315231,0.0,16.518431707298998,0.0,100.0,-0.9999538108102373,30.0,89.2,ok,yahoo_chart
APUS,260.0,2025-05-09,2026-09-18,1.7999999523162842,1275958.0,2296724.3391575813,1.36,38.95000076293945,-0.9537869084195508,-0.14489314203970774,-0.5899772193484666,-0.7977528056778128,143032.9,100959.8,8.920730824866167,12.638277809583617,0.8385492769094702,,-0.8351648406831172,16.5,0.4888889654183114,0.0,99.5,-0.8054054105604017,30.0,73.5,ok,yahoo_chart
MSS,156.0,2023-10-02,2026-09-18,1.5573999881744385,128924.0,200786.2360754013,2.96,710.0,-0.9978064788898952,0.05229727574558161,-0.7508160018920899,-0.9635695909198961,8940225.2,3089948.2333333334,0.014420665823943675,0.04172367634163278,1.1811203424942123,,-0.9921343434940685,0.8,0.6099909693642687,0.0,100.0,-0.9678555219060857,0.0,50.5,ok,yahoo_chart
TRUG,252.0,2021-11-29,2026-09-18,0.5357000231742859,243394142.0,130386247.50988543,4.8,6125.0,-0.9999125387717267,-0.3734502792704113,-0.7334825742706497,-0.9895778208702081,54693407.1,18447277.366666667,4.450155053514668,13.19404143832094,15.704466124692349,,-0.9909510132386747,0.9,1.0826954605562915,0.0,100.0,-0.9894754419034365,30.0,91.0,ok,yahoo_chart
BIAF,213.0,2022-08-29,2026-09-18,10.170000076293945,9696906.0,98617534.75981522,4.05,3172.5,-0.9967943262170862,0.6950000127156576,-0.6660098580794848,-0.9231292528971803,9820251.35,4085220.2666666666,0.9874396952171698,2.3736556090064114,75.16467478213306,,-0.9497777774010175,5.0,1.552605734536457,0.0,99.8,-0.9215277808847413,35.0,81.4,ok,yahoo_chart
NUWE,176.0,2012-03-01,2026-09-18,0.8899999856948853,1366569.0,1216246.3904510736,14.55,15013932695552.0,-0.9999999999999407,-0.9669758827272918,-0.9995156462662885,-0.9999999172327865,14284782.35,4764463.1,0.09566607082396324,0.28682539277090846,1.0739823147507275,,-0.9999999302485982,0.0,30.66292186527448,0.0,100.0,-0.9999998912053608,0.0,60.7,ok,yahoo_chart
VBIO,255.0,2021-11-08,2026-09-18,2.2100000381469727,48239.0,106608.19184017181,4.86,233750.0,-0.9999905454543823,-0.28130081174740657,-0.9079166650772095,-0.9725465833770562,1258897.35,512262.45,0.03831845384375461,0.09416852630912143,0.9924225138203606,,-0.9842142854418073,1.6,1.1990949371977424,0.0,100.0,-0.9766754613388182,0.0,55.7,ok,yahoo_chart
