ticker,cik,company_name,filing_type,filing_date,accession_number,primary_document,filing_url,sec_sic,sec_sic_description,is_high_signal
CDT,0001896212,CDT Equity Inc. Common Stock,SCHEDULE 13G,2026-05-20,0001213900-26-059720,xslSCHEDULE_13G_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1896212/000121390026059720/xslSCHEDULE_13G_X02/primary_doc.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,NT 10-Q,2026-05-15,0001493152-26-023832,formnt10-q.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226023832/formnt10-q.htm,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,8-K,2026-05-15,0001493152-26-023707,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226023707/form8-k.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,SCHEDULE 13D/A,2026-05-14,0001753926-26-000869,xslSCHEDULE_13D_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1896212/000175392626000869/xslSCHEDULE_13D_X02/primary_doc.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,4,2026-05-14,0001753926-26-000867,xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1896212/000175392626000867/xslF345X06/ownership.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,EFFECT,2026-05-01,9999999995-26-001441,xslEFFECTX01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1896212/999999999526001441/xslEFFECTX01/primary_doc.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,424B3,2026-05-01,0001493152-26-020920,form424b3.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226020920/form424b3.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,3,2026-04-30,0001493152-26-020788,xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1896212/000149315226020788/xslF345X06/ownership.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,8-K,2026-04-27,0001493152-26-019133,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226019133/form8-k.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,S-3,2026-04-22,0001493152-26-018405,forms-3.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226018405/forms-3.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,10-K,2026-04-15,0001493152-26-016858,form10-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226016858/form10-k.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,424B5,2026-04-02,0001493152-26-014923,form424b5.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226014923/form424b5.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,NT 10-K,2026-04-01,0001493152-26-014626,formnt10-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226014626/formnt10-k.htm,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,4,2026-03-30,0001753926-26-000583,xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1896212/000175392626000583/xslF345X06/ownership.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,3,2026-03-30,0001753926-26-000582,xslF345X06/ownership.xml,https://www.sec.gov/Archives/edgar/data/1896212/000175392626000582/xslF345X06/ownership.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,SCHEDULE 13D,2026-03-30,0001753926-26-000581,xslSCHEDULE_13D_X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1896212/000175392626000581/xslSCHEDULE_13D_X02/primary_doc.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,8-K,2026-03-25,0001493152-26-012538,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226012538/form8-k.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,8-K,2026-03-18,0001493152-26-011270,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226011270/form8-k.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,8-K,2026-03-09,0001493152-26-009367,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226009367/form8-k.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,DEF 14A,2026-03-06,0001493152-26-009143,formdef14a.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226009143/formdef14a.htm,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,8-K,2026-02-24,0001493152-26-007906,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226007906/form8-k.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,PRE 14A,2026-02-24,0001493152-26-007899,formpre14a.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226007899/formpre14a.htm,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,4,2026-02-23,0001493152-26-007794,xslF345X05/ownership.xml,https://www.sec.gov/Archives/edgar/data/1896212/000149315226007794/xslF345X05/ownership.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,SCHEDULE 13G,2026-02-18,0001753926-26-000333,xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1896212/000175392626000333/xslSCHEDULE_13G_X01/primary_doc.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,424B3,2026-02-10,0001493152-26-005969,form424b3.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226005969/form424b3.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,EFFECT,2026-02-09,9999999995-26-000486,xslEFFECTX01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1896212/999999999526000486/xslEFFECTX01/primary_doc.xml,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,S-8,2026-01-30,0001493152-26-004346,forms-8.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226004346/forms-8.htm,2834,Pharmaceutical Preparations,False
CDT,0001896212,CDT Equity Inc. Common Stock,S-3,2026-01-30,0001493152-26-004285,forms-3.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226004285/forms-3.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,8-K,2026-01-22,0001493152-26-003244,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226003244/form8-k.htm,2834,Pharmaceutical Preparations,True
CDT,0001896212,CDT Equity Inc. Common Stock,8-K,2026-01-02,0001493152-26-000143,form8-k.htm,https://www.sec.gov/Archives/edgar/data/1896212/000149315226000143/form8-k.htm,2834,Pharmaceutical Preparations,True
